,population,state,county
2353,82082,Rhode Island,Newport County
2354,638931,Rhode Island,Providence County
2355,125577,Rhode Island,Washington County
2356,5148714,South Carolina,South Carolina
2357,24527,South Carolina,Abbeville County
2358,170872,South Carolina,Aiken County
2359,8688,South Carolina,Allendale County
2360,202558,South Carolina,Anderson County
2361,14066,South Carolina,Bamberg County
2362,20866,South Carolina,Barnwell County
2363,192122,South Carolina,Beaufort County
2364,227907,South Carolina,Berkeley County
2365,14553,South Carolina,Calhoun County
2366,411406,South Carolina,Charleston County
2367,57300,South Carolina,Cherokee County
2368,32244,South Carolina,Chester County
2369,45650,South Carolina,Chesterfield County
2370,33745,South Carolina,Clarendon County
2371,37677,South Carolina,Colleton County
2372,66618,South Carolina,Darlington County
2373,30479,South Carolina,Dillon County
2374,162809,South Carolina,Dorchester County
2375,27260,South Carolina,Edgefield County
2376,22347,South Carolina,Fairfield County
2377,138293,South Carolina,Florence County
2378,62680,South Carolina,Georgetown County
2379,523542,South Carolina,Greenville County
2380,70811,South Carolina,Greenwood County
2381,19222,South Carolina,Hampton County
2382,354081,South Carolina,Horry County
2383,30073,South Carolina,Jasper County
2384,66551,South Carolina,Kershaw County
2385,98012,South Carolina,Lancaster County
2386,67493,South Carolina,Laurens County
2387,16828,South Carolina,Lee County
2388,298750,South Carolina,Lexington County
2389,9463,South Carolina,McCormick County
2390,30657,South Carolina,Marion County
2391,26118,South Carolina,Marlboro County
2392,38440,South Carolina,Newberry County
2393,79546,South Carolina,Oconee County
2394,86175,South Carolina,Orangeburg County
2395,126884,South Carolina,Pickens County
2396,415759,South Carolina,Richland County
2397,20473,South Carolina,Saluda County
2398,319785,South Carolina,Spartanburg County
2399,106721,South Carolina,Sumter County
2400,27316,South Carolina,Union County
2401,30368,South Carolina,Williamsburg County
2402,280979,South Carolina,York County
2403,884659,South Dakota,South Dakota
2404,2751,South Dakota,Aurora County
2405,18453,South Dakota,Beadle County
2406,3365,South Dakota,Bennett County
2407,6901,South Dakota,Bon Homme County
2408,35077,South Dakota,Brookings County
2409,38839,South Dakota,Brown County
2410,5297,South Dakota,Brule County
2411,1962,South Dakota,Buffalo County
2412,10429,South Dakota,Butte County
2413,1376,South Dakota,Campbell County
2414,9292,South Dakota,Charles Mix County
2415,3736,South Dakota,Clark County
2416,14070,South Dakota,Clay County
2417,28009,South Dakota,Codington County
2418,4086,South Dakota,Corson County
2419,8972,South Dakota,Custer County
2420,19775,South Dakota,Davison County
2421,5424,South Dakota,Day County
2422,4351,South Dakota,Deuel County
2423,5892,South Dakota,Dewey County
2424,2921,South Dakota,Douglas County
2425,3829,South Dakota,Edmunds County
2426,6713,South Dakota,Fall River County
2427,2299,South Dakota,Faulk County
2428,7052,South Dakota,Grant County
2429,4185,South Dakota,Gregory County
2430,1899,South Dakota,Haakon County
2431,6164,South Dakota,Hamlin County
2432,3191,South Dakota,Hand County
2433,3453,South Dakota,Hanson County
2434,1298,South Dakota,Harding County
2435,17526,South Dakota,Hughes County
2436,7291,South Dakota,Hutchinson County
2437,1301,South Dakota,Hyde County
2438,3344,South Dakota,Jackson County
2439,2013,South Dakota,Jerauld County
2440,903,South Dakota,Jones County
2441,4939,South Dakota,Kingsbury County
2442,12797,South Dakota,Lake County
2443,25844,South Dakota,Lawrence County
2444,61128,South Dakota,Lincoln County
2445,3781,South Dakota,Lyman County
2446,5586,South Dakota,McCook County
2447,2379,South Dakota,McPherson County
2448,4935,South Dakota,Marshall County
2449,28332,South Dakota,Meade County
2450,2061,South Dakota,Mellette County
2451,2216,South Dakota,Miner County
2452,193134,South Dakota,Minnehaha County
2453,6576,South Dakota,Moody County
2454,14177,South Dakota,Oglala Lakota County
2455,113775,South Dakota,Pennington County
2456,2865,South Dakota,Perkins County
2457,2153,South Dakota,Potter County
2458,10394,South Dakota,Roberts County
2459,2344,South Dakota,Sanborn County
2460,6376,South Dakota,Spink County
2461,3098,South Dakota,Stanley County
2462,1391,South Dakota,Sully County
2463,10177,South Dakota,Todd County
2464,5441,South Dakota,Tripp County
2465,8384,South Dakota,Turner County
2466,15932,South Dakota,Union County
2467,5435,South Dakota,Walworth County
2468,22814,South Dakota,Yankton County
2469,2756,South Dakota,Ziebach County
2470,6829174,Tennessee,Tennessee
2471,76978,Tennessee,Anderson County
2472,49713,Tennessee,Bedford County
2473,16160,Tennessee,Benton County
2474,15064,Tennessee,Bledsoe County
2475,133088,Tennessee,Blount County
2476,108110,Tennessee,Bradley County
2477,39842,Tennessee,Campbell County
2478,14678,Tennessee,Cannon County
2479,27767,Tennessee,Carroll County
2480,56391,Tennessee,Carter County
2481,40667,Tennessee,Cheatham County
2482,17297,Tennessee,Chester County
2483,31959,Tennessee,Claiborne County
2484,7615,Tennessee,Clay County
2485,36004,Tennessee,Cocke County
2486,56520,Tennessee,Coffee County
2487,14230,Tennessee,Crockett County
2488,60520,Tennessee,Cumberland County
2489,694144,Tennessee,Davidson County
2490,11663,Tennessee,Decatur County
2491,20490,Tennessee,DeKalb County
2492,53948,Tennessee,Dickson County
2493,37159,Tennessee,Dyer County
2494,41133,Tennessee,Fayette County
2495,18523,Tennessee,Fentress County
2496,42208,Tennessee,Franklin County
2497,49133,Tennessee,Gibson County
2498,29464,Tennessee,Giles County
2499,23320,Tennessee,Grainger County
2500,69069,Tennessee,Greene County
2501,13427,Tennessee,Grundy County
2502,64934,Tennessee,Hamblen County
2503,367804,Tennessee,Hamilton County
2504,6620,Tennessee,Hancock County
2505,25050,Tennessee,Hardeman County
2506,25652,Tennessee,Hardin County
2507,56786,Tennessee,Hawkins County
2508,17304,Tennessee,Haywood County
2509,28117,Tennessee,Henderson County
2510,32345,Tennessee,Henry County
2511,25178,Tennessee,Hickman County
2512,8201,Tennessee,Houston County
2513,18582,Tennessee,Humphreys County
2514,11786,Tennessee,Jackson County
2515,54495,Tennessee,Jefferson County
2516,17788,Tennessee,Johnson County
2517,470313,Tennessee,Knox County
2518,7016,Tennessee,Lake County
2519,25633,Tennessee,Lauderdale County
2520,44142,Tennessee,Lawrence County
2521,12268,Tennessee,Lewis County
2522,34366,Tennessee,Lincoln County
2523,54068,Tennessee,Loudon County
2524,53794,Tennessee,McMinn County
2525,25694,Tennessee,McNairy County
2526,24602,Tennessee,Macon County
2527,97984,Tennessee,Madison County
2528,28907,Tennessee,Marion County
2529,34375,Tennessee,Marshall County
2530,96387,Tennessee,Maury County
2531,12422,Tennessee,Meigs County
2532,46545,Tennessee,Monroe County
2533,208993,Tennessee,Montgomery County
2534,6488,Tennessee,Moore County
2535,21403,Tennessee,Morgan County
2536,30069,Tennessee,Obion County
2537,22241,Tennessee,Overton County
2538,8076,Tennessee,Perry County
2539,5048,Tennessee,Pickett County
2540,16832,Tennessee,Polk County
2541,80245,Tennessee,Putnam County
2542,33167,Tennessee,Rhea County
2543,53382,Tennessee,Roane County
2544,71813,Tennessee,Robertson County
2545,332285,Tennessee,Rutherford County
2546,22068,Tennessee,Scott County
2547,15026,Tennessee,Sequatchie County
2548,98250,Tennessee,Sevier County
2549,937166,Tennessee,Shelby County
2550,20157,Tennessee,Smith County
2551,13715,Tennessee,Stewart County
2552,158348,Tennessee,Sullivan County
2553,191283,Tennessee,Sumner County
2554,61599,Tennessee,Tipton County
2555,11284,Tennessee,Trousdale County
2556,17883,Tennessee,Unicoi County
2557,19972,Tennessee,Union County
2558,5872,Tennessee,Van Buren County
2559,41277,Tennessee,Warren County
2560,129375,Tennessee,Washington County
2561,16673,Tennessee,Wayne County
2562,33328,Tennessee,Weakley County
2563,27345,Tennessee,White County
2564,238412,Tennessee,Williamson County
2565,144657,Tennessee,Wilson County
2566,28995881,Texas,Texas
2567,57735,Texas,Anderson County
2568,18705,Texas,Andrews County
2569,86715,Texas,Angelina County
2570,23510,Texas,Aransas County
2571,8553,Texas,Archer County
2572,1887,Texas,Armstrong County
2573,51153,Texas,Atascosa County
2574,30032,Texas,Austin County
2575,7000,Texas,Bailey County
2576,23112,Texas,Bandera County
2577,88723,Texas,Bastrop County
2578,3509,Texas,Baylor County
2579,32565,Texas,Bee County
2580,362924,Texas,Bell County
2581,2003554,Texas,Bexar County
2582,11931,Texas,Blanco County
2583,654,Texas,Borden County
2584,18685,Texas,Bosque County
2585,93245,Texas,Bowie County
2586,374264,Texas,Brazoria County
2587,229211,Texas,Brazos County
2588,9203,Texas,Brewster County
2589,1546,Texas,Briscoe County
2590,7093,Texas,Brooks County
2591,37864,Texas,Brown County
2592,18443,Texas,Burleson County
2593,48155,Texas,Burnet County
2594,43664,Texas,Caldwell County
2595,21290,Texas,Calhoun County
2596,13943,Texas,Callahan County
2597,423163,Texas,Cameron County
2598,13094,Texas,Camp County
2599,5926,Texas,Carson County
2600,30026,Texas,Cass County
2601,7530,Texas,Castro County
2602,43837,Texas,Chambers County
2603,52646,Texas,Cherokee County
2604,7306,Texas,Childress County
2605,10471,Texas,Clay County
2606,2853,Texas,Cochran County
2607,3387,Texas,Coke County
2608,8175,Texas,Coleman County
2609,1034730,Texas,Collin County
2610,2920,Texas,Collingsworth County
2611,21493,Texas,Colorado County
2612,156209,Texas,Comal County
2613,13635,Texas,Comanche County
2614,2726,Texas,Concho County
2615,41257,Texas,Cooke County
2616,75951,Texas,Coryell County
2617,1398,Texas,Cottle County
2618,4797,Texas,Crane County
2619,3464,Texas,Crockett County
2620,5737,Texas,Crosby County
2621,2171,Texas,Culberson County
2622,7287,Texas,Dallam County
2623,2635516,Texas,Dallas County
2624,12728,Texas,Dawson County
2625,18546,Texas,Deaf Smith County
2626,5331,Texas,Delta County
2627,887207,Texas,Denton County
2628,20160,Texas,DeWitt County
2629,2211,Texas,Dickens County
2630,10124,Texas,Dimmit County
2631,3278,Texas,Donley County
2632,11157,Texas,Duval County
2633,18360,Texas,Eastland County
2634,166223,Texas,Ector County
2635,1932,Texas,Edwards County
2636,184826,Texas,Ellis County
2637,839238,Texas,El Paso County
2638,42698,Texas,Erath County
2639,17297,Texas,Falls County
2640,35514,Texas,Fannin County
2641,25346,Texas,Fayette County
2642,3830,Texas,Fisher County
2643,5712,Texas,Floyd County
2644,1155,Texas,Foard County
2645,811688,Texas,Fort Bend County
2646,10725,Texas,Franklin County
2647,19717,Texas,Freestone County
2648,20306,Texas,Frio County
2649,21492,Texas,Gaines County
2650,342139,Texas,Galveston County
2651,6229,Texas,Garza County
2652,26988,Texas,Gillespie County
2653,1409,Texas,Glasscock County
2654,7658,Texas,Goliad County
2655,20837,Texas,Gonzales County
2656,21886,Texas,Gray County
2657,136212,Texas,Grayson County
2658,123945,Texas,Gregg County
2659,28880,Texas,Grimes County
2660,166847,Texas,Guadalupe County
2661,33406,Texas,Hale County
2662,2964,Texas,Hall County
2663,8461,Texas,Hamilton County
2664,5399,Texas,Hansford County
2665,3933,Texas,Hardeman County
2666,57602,Texas,Hardin County
2667,4713325,Texas,Harris County
2668,66553,Texas,Harrison County
2669,5576,Texas,Hartley County
2670,5658,Texas,Haskell County
2671,230191,Texas,Hays County
2672,3819,Texas,Hemphill County
2673,82737,Texas,Henderson County
2674,868707,Texas,Hidalgo County
2675,36649,Texas,Hill County
2676,23021,Texas,Hockley County
2677,61643,Texas,Hood County
2678,37084,Texas,Hopkins County
2679,22968,Texas,Houston County
2680,36664,Texas,Howard County
2681,4886,Texas,Hudspeth County
2682,98594,Texas,Hunt County
2683,20938,Texas,Hutchinson County
2684,1536,Texas,Irion County
2685,8935,Texas,Jack County
2686,14760,Texas,Jackson County
2687,35529,Texas,Jasper County
2688,2274,Texas,Jeff Davis County
2689,251565,Texas,Jefferson County
2690,5200,Texas,Jim Hogg County
2691,40482,Texas,Jim Wells County
2692,175817,Texas,Johnson County
2693,20083,Texas,Jones County
2694,15601,Texas,Karnes County
2695,136154,Texas,Kaufman County
2696,47431,Texas,Kendall County
2697,404,Texas,Kenedy County
2698,762,Texas,Kent County
2699,52600,Texas,Kerr County
2700,4337,Texas,Kimble County
2701,272,Texas,King County
2702,3667,Texas,Kinney County
2703,30680,Texas,Kleberg County
2704,3664,Texas,Knox County
2705,49859,Texas,Lamar County
2706,12893,Texas,Lamb County
2707,21428,Texas,Lampasas County
2708,7520,Texas,La Salle County
2709,20154,Texas,Lavaca County
2710,17239,Texas,Lee County
2711,17404,Texas,Leon County
2712,88219,Texas,Liberty County
2713,23437,Texas,Limestone County
2714,3233,Texas,Lipscomb County
2715,12207,Texas,Live Oak County
2716,21795,Texas,Llano County
2717,169,Texas,Loving County
2718,310569,Texas,Lubbock County
2719,5951,Texas,Lynn County
2720,7984,Texas,McCulloch County
2721,256623,Texas,McLennan County
2722,743,Texas,McMullen County
2723,14284,Texas,Madison County
2724,9854,Texas,Marion County
2725,5771,Texas,Martin County
2726,4274,Texas,Mason County
2727,36643,Texas,Matagorda County
2728,58722,Texas,Maverick County
2729,51584,Texas,Medina County
2730,2138,Texas,Menard County
2731,176832,Texas,Midland County
2732,24823,Texas,Milam County
2733,4873,Texas,Mills County
2734,8545,Texas,Mitchell County
2735,19818,Texas,Montague County
2736,607391,Texas,Montgomery County
2737,20940,Texas,Moore County
2738,12388,Texas,Morris County
2739,1200,Texas,Motley County
2740,65204,Texas,Nacogdoches County
2741,50113,Texas,Navarro County
2742,13595,Texas,Newton County
2743,14714,Texas,Nolan County
2744,362294,Texas,Nueces County
2745,9836,Texas,Ochiltree County
2746,2112,Texas,Oldham County
2747,83396,Texas,Orange County
2748,29189,Texas,Palo Pinto County
2749,23194,Texas,Panola County
2750,142878,Texas,Parker County
2751,9605,Texas,Parmer County
2752,15823,Texas,Pecos County
2753,51353,Texas,Polk County
2754,117415,Texas,Potter County
2755,6704,Texas,Presidio County
2756,12514,Texas,Rains County
2757,137713,Texas,Randall County
2758,3849,Texas,Reagan County
2759,3452,Texas,Real County
2760,12023,Texas,Red River County
2761,15976,Texas,Reeves County
2762,6948,Texas,Refugio County
2763,854,Texas,Roberts County
2764,17074,Texas,Robertson County
2765,104915,Texas,Rockwall County
2766,10264,Texas,Runnels County
2767,54406,Texas,Rusk County
2768,10542,Texas,Sabine County
2769,8237,Texas,San Augustine County
2770,28859,Texas,San Jacinto County
2771,66730,Texas,San Patricio County
2772,6055,Texas,San Saba County
2773,2793,Texas,Schleicher County
2774,16703,Texas,Scurry County
2775,3265,Texas,Shackelford County
2776,25274,Texas,Shelby County
2777,3022,Texas,Sherman County
2778,232751,Texas,Smith County
2779,9128,Texas,Somervell County
2780,64633,Texas,Starr County
2781,9366,Texas,Stephens County
2782,1291,Texas,Sterling County
2783,1350,Texas,Stonewall County
2784,3776,Texas,Sutton County
2785,7397,Texas,Swisher County
2786,2102515,Texas,Tarrant County
2787,138034,Texas,Taylor County
2788,776,Texas,Terrell County
2789,12337,Texas,Terry County
2790,1501,Texas,Throckmorton County
2791,32750,Texas,Titus County
2792,119200,Texas,Tom Green County
2793,1273954,Texas,Travis County
2794,14651,Texas,Trinity County
2795,21672,Texas,Tyler County
2796,41753,Texas,Upshur County
2797,3657,Texas,Upton County
2798,26741,Texas,Uvalde County
2799,49025,Texas,Val Verde County
2800,56590,Texas,Van Zandt County
2801,92084,Texas,Victoria County
2802,72971,Texas,Walker County
2803,55246,Texas,Waller County
2804,11998,Texas,Ward County
2805,35882,Texas,Washington County
2806,276652,Texas,Webb County
2807,41556,Texas,Wharton County
2808,5056,Texas,Wheeler County
2809,132230,Texas,Wichita County
2810,12769,Texas,Wilbarger County
2811,21358,Texas,Willacy County
2812,590551,Texas,Williamson County
2813,51070,Texas,Wilson County
2814,8010,Texas,Winkler County
2815,69984,Texas,Wise County
2816,45539,Texas,Wood County
2817,8713,Texas,Yoakum County
2818,18010,Texas,Young County
2819,14179,Texas,Zapata County
2820,11840,Texas,Zavala County
2821,3205958,Utah,Utah
2822,6710,Utah,Beaver County
2823,56046,Utah,Box Elder County
2824,128289,Utah,Cache County
2825,20463,Utah,Carbon County
2826,950,Utah,Daggett County
2827,355481,Utah,Davis County
2828,19938,Utah,Duchesne County
2829,10012,Utah,Emery County
2830,5051,Utah,Garfield County
2831,9754,Utah,Grand County
2832,54839,Utah,Iron County
2833,12017,Utah,Juab County
2834,7886,Utah,Kane County
2835,13188,Utah,Millard County
2836,12124,Utah,Morgan County
2837,1479,Utah,Piute County
2838,2483,Utah,Rich County
2839,1160437,Utah,Salt Lake County
2840,15308,Utah,San Juan County
2841,30939,Utah,Sanpete County
2842,21620,Utah,Sevier County
2843,42145,Utah,Summit County
2844,72259,Utah,Tooele County
2845,35734,Utah,Uintah County
2846,636235,Utah,Utah County
2847,34091,Utah,Wasatch County
2848,177556,Utah,Washington County
2849,2711,Utah,Wayne County
2850,260213,Utah,Weber County
2851,623989,Vermont,Vermont
2852,36777,Vermont,Addison County
2853,35470,Vermont,Bennington County
2854,29993,Vermont,Caledonia County
2855,163774,Vermont,Chittenden County
2856,6163,Vermont,Essex County
2857,49402,Vermont,Franklin County
2858,7235,Vermont,Grand Isle County
2859,25362,Vermont,Lamoille County
2860,28892,Vermont,Orange County
2861,27037,Vermont,Orleans County
2862,58191,Vermont,Rutland County
2863,58409,Vermont,Washington County
2864,42222,Vermont,Windham County
2865,55062,Vermont,Windsor County
2866,8535519,Virginia,Virginia
2867,32316,Virginia,Accomack County
2868,109330,Virginia,Albemarle County
2869,14860,Virginia,Alleghany County
2870,13145,Virginia,Amelia County
2871,31605,Virginia,Amherst County
2872,15911,Virginia,Appomattox County
2873,236842,Virginia,Arlington County
2874,75558,Virginia,Augusta County
2875,4147,Virginia,Bath County
2876,78997,Virginia,Bedford County
2877,6280,Virginia,Bland County
2878,33419,Virginia,Botetourt County
2879,16231,Virginia,Brunswick County
2880,21004,Virginia,Buchanan County
2881,17148,Virginia,Buckingham County
2882,54885,Virginia,Campbell County
2883,30725,Virginia,Caroline County
2884,29791,Virginia,Carroll County
2885,6963,Virginia,Charles City County
2886,11880,Virginia,Charlotte County
2887,352802,Virginia,Chesterfield County
2888,14619,Virginia,Clarke County
2889,5131,Virginia,Craig County
2890,52605,Virginia,Culpeper County
2891,9932,Virginia,Cumberland County
2892,14318,Virginia,Dickenson County
2893,28544,Virginia,Dinwiddie County
2894,10953,Virginia,Essex County
2895,1147532,Virginia,Fairfax County
2896,71222,Virginia,Fauquier County
2897,15749,Virginia,Floyd County
2898,27270,Virginia,Fluvanna County
2899,56042,Virginia,Franklin County
2900,89313,Virginia,Frederick County
2901,16720,Virginia,Giles County
2902,37348,Virginia,Gloucester County
2903,23753,Virginia,Goochland County
2904,15550,Virginia,Grayson County
2905,19819,Virginia,Greene County
2906,11336,Virginia,Greensville County
2907,33911,Virginia,Halifax County
2908,107766,Virginia,Hanover County
2909,330818,Virginia,Henrico County
2910,50557,Virginia,Henry County
2911,2190,Virginia,Highland County
2912,37109,Virginia,Isle of Wight County
2913,76523,Virginia,James City County
2914,7025,Virginia,King and Queen County
2915,26836,Virginia,King George County
2916,17148,Virginia,King William County
2917,10603,Virginia,Lancaster County
2918,23423,Virginia,Lee County
2919,413538,Virginia,Loudoun County
2920,37591,Virginia,Louisa County
2921,12196,Virginia,Lunenburg County
2922,13261,Virginia,Madison County
2923,8834,Virginia,Mathews County
2924,30587,Virginia,Mecklenburg County
2925,10582,Virginia,Middlesex County
2926,98535,Virginia,Montgomery County
2927,14930,Virginia,Nelson County
2928,23091,Virginia,New Kent County
2929,11710,Virginia,Northampton County
2930,12095,Virginia,Northumberland County
2931,15232,Virginia,Nottoway County
2932,37051,Virginia,Orange County
2933,23902,Virginia,Page County
2934,17608,Virginia,Patrick County
2935,60354,Virginia,Pittsylvania County
2936,29652,Virginia,Powhatan County
2937,22802,Virginia,Prince Edward County
2938,38353,Virginia,Prince George County
2939,470335,Virginia,Prince William County
2940,34027,Virginia,Pulaski County
2941,7370,Virginia,Rappahannock County
2942,9023,Virginia,Richmond County
2943,94186,Virginia,Roanoke County
2944,22573,Virginia,Rockbridge County
2945,81948,Virginia,Rockingham County
2946,26586,Virginia,Russell County
2947,21566,Virginia,Scott County
2948,43616,Virginia,Shenandoah County
2949,30104,Virginia,Smyth County
2950,17631,Virginia,Southampton County
2951,136215,Virginia,Spotsylvania County
2952,152882,Virginia,Stafford County
2953,6422,Virginia,Surry County
2954,11159,Virginia,Sussex County
2955,40595,Virginia,Tazewell County
2956,40164,Virginia,Warren County
2957,53740,Virginia,Washington County
2958,18015,Virginia,Westmoreland County
2959,37383,Virginia,Wise County
2960,28684,Virginia,Wythe County
2961,68280,Virginia,York County
2962,159428,Virginia,Alexandria city
2963,16762,Virginia,Bristol city
2964,6478,Virginia,Buena Vista city
2965,47266,Virginia,Charlottesville city
2966,244835,Virginia,Chesapeake city
2967,17370,Virginia,Colonial Heights city
2968,5538,Virginia,Covington city
2969,40044,Virginia,Danville city
2970,5346,Virginia,Emporia city
2971,24019,Virginia,Fairfax city
2972,14617,Virginia,Falls Church city
2973,7967,Virginia,Franklin city
2974,29036,Virginia,Fredericksburg city
2975,6347,Virginia,Galax city
2976,134510,Virginia,Hampton city
2977,53016,Virginia,Harrisonburg city
2978,22529,Virginia,Hopewell city
2979,7446,Virginia,Lexington city
2980,82168,Virginia,Lynchburg city
2981,41085,Virginia,Manassas city
2982,17478,Virginia,Manassas Park city
2983,12554,Virginia,Martinsville city
2984,179225,Virginia,Newport News city
2985,242742,Virginia,Norfolk city
2986,3981,Virginia,Norton city
2987,31346,Virginia,Petersburg city
2988,12271,Virginia,Poquoson city
2989,94398,Virginia,Portsmouth city
2990,18249,Virginia,Radford city
2991,230436,Virginia,Richmond city
2992,99143,Virginia,Roanoke city
2993,25301,Virginia,Salem city
2994,24932,Virginia,Staunton city
2995,92108,Virginia,Suffolk city
2996,449974,Virginia,Virginia Beach city
2997,22630,Virginia,Waynesboro city
2998,14954,Virginia,Williamsburg city
2999,28078,Virginia,Winchester city
3000,7614893,Washington,Washington
3001,19983,Washington,Adams County
3002,22582,Washington,Asotin County
3003,204390,Washington,Benton County
3004,77200,Washington,Chelan County
3005,77331,Washington,Clallam County
3006,488241,Washington,Clark County
3007,3985,Washington,Columbia County
3008,110593,Washington,Cowlitz County
3009,43429,Washington,Douglas County
3010,7627,Washington,Ferry County
3011,95222,Washington,Franklin County
3012,2225,Washington,Garfield County
3013,97733,Washington,Grant County
3014,75061,Washington,Grays Harbor County
3015,85141,Washington,Island County
3016,32221,Washington,Jefferson County
3017,2252782,Washington,King County
3018,271473,Washington,Kitsap County
3019,47935,Washington,Kittitas County
3020,22425,Washington,Klickitat County
3021,80707,Washington,Lewis County
3022,10939,Washington,Lincoln County
3023,66768,Washington,Mason County
3024,42243,Washington,Okanogan County
3025,22471,Washington,Pacific County
3026,13724,Washington,Pend Oreille County
3027,904980,Washington,Pierce County
3028,17582,Washington,San Juan County
3029,129205,Washington,Skagit County
3030,12083,Washington,Skamania County
3031,822083,Washington,Snohomish County
3032,522798,Washington,Spokane County
3033,45723,Washington,Stevens County
3034,290536,Washington,Thurston County
3035,4488,Washington,Wahkiakum County
3036,60760,Washington,Walla Walla County
3037,229247,Washington,Whatcom County
3038,50104,Washington,Whitman County
3039,250873,Washington,Yakima County
3040,1792147,West Virginia,West Virginia
3041,16441,West Virginia,Barbour County
3042,119171,West Virginia,Berkeley County
3043,21457,West Virginia,Boone County
3044,13957,West Virginia,Braxton County
3045,21939,West Virginia,Brooke County
3046,91945,West Virginia,Cabell County
3047,7109,West Virginia,Calhoun County
3048,8508,West Virginia,Clay County
3049,8448,West Virginia,Doddridge County
3050,42406,West Virginia,Fayette County
3051,7823,West Virginia,Gilmer County
3052,11568,West Virginia,Grant County
3053,34662,West Virginia,Greenbrier County
3054,23175,West Virginia,Hampshire County
3055,28810,West Virginia,Hancock County
3056,13776,West Virginia,Hardy County
3057,67256,West Virginia,Harrison County
3058,28576,West Virginia,Jackson County
3059,57146,West Virginia,Jefferson County
3060,178124,West Virginia,Kanawha County
3061,15907,West Virginia,Lewis County
3062,20409,West Virginia,Lincoln County
3063,32019,West Virginia,Logan County
3064,17624,West Virginia,McDowell County
3065,56072,West Virginia,Marion County
3066,30531,West Virginia,Marshall County
3067,26516,West Virginia,Mason County
3068,58758,West Virginia,Mercer County
3069,26868,West Virginia,Mineral County
3070,23424,West Virginia,Mingo County
3071,105612,West Virginia,Monongalia County
3072,13275,West Virginia,Monroe County
3073,17884,West Virginia,Morgan County
3074,24496,West Virginia,Nicholas County
3075,41411,West Virginia,Ohio County
3076,6969,West Virginia,Pendleton County
3077,7460,West Virginia,Pleasants County
3078,8247,West Virginia,Pocahontas County
3079,33432,West Virginia,Preston County
3080,56450,West Virginia,Putnam County
3081,73361,West Virginia,Raleigh County
3082,28695,West Virginia,Randolph County
3083,9554,West Virginia,Ritchie County
3084,13688,West Virginia,Roane County
3085,12573,West Virginia,Summers County
3086,16695,West Virginia,Taylor County
3087,6839,West Virginia,Tucker County
3088,8591,West Virginia,Tyler County
3089,24176,West Virginia,Upshur County
3090,39402,West Virginia,Wayne County
3091,8114,West Virginia,Webster County
3092,15065,West Virginia,Wetzel County
3093,5821,West Virginia,Wirt County
3094,83518,West Virginia,Wood County
3095,20394,West Virginia,Wyoming County
3096,5822434,Wisconsin,Wisconsin
3097,20220,Wisconsin,Adams County
3098,15562,Wisconsin,Ashland County
3099,45244,Wisconsin,Barron County
3100,15036,Wisconsin,Bayfield County
3101,264542,Wisconsin,Brown County
3102,13031,Wisconsin,Buffalo County
3103,15414,Wisconsin,Burnett County
3104,50089,Wisconsin,Calumet County
3105,64658,Wisconsin,Chippewa County
3106,34774,Wisconsin,Clark County
3107,57532,Wisconsin,Columbia County
3108,16131,Wisconsin,Crawford County
3109,546695,Wisconsin,Dane County
3110,87839,Wisconsin,Dodge County
3111,27668,Wisconsin,Door County
3112,43150,Wisconsin,Douglas County
3113,45368,Wisconsin,Dunn County
3114,104646,Wisconsin,Eau Claire County
3115,4295,Wisconsin,Florence County
3116,103403,Wisconsin,Fond du Lac County
3117,9004,Wisconsin,Forest County
3118,51439,Wisconsin,Grant County
3119,36960,Wisconsin,Green County
3120,18913,Wisconsin,Green Lake County
3121,23678,Wisconsin,Iowa County
3122,5687,Wisconsin,Iron County
3123,20643,Wisconsin,Jackson County
3124,84769,Wisconsin,Jefferson County
3125,26687,Wisconsin,Juneau County
3126,169561,Wisconsin,Kenosha County
3127,20434,Wisconsin,Kewaunee County
3128,118016,Wisconsin,La Crosse County
3129,16665,Wisconsin,Lafayette County
3130,19189,Wisconsin,Langlade County
3131,27593,Wisconsin,Lincoln County
3132,78981,Wisconsin,Manitowoc County
3133,135692,Wisconsin,Marathon County
3134,40350,Wisconsin,Marinette County
3135,15574,Wisconsin,Marquette County
3136,4556,Wisconsin,Menominee County
3137,945726,Wisconsin,Milwaukee County
3138,46253,Wisconsin,Monroe County
3139,37930,Wisconsin,Oconto County
3140,35595,Wisconsin,Oneida County
3141,187885,Wisconsin,Outagamie County
3142,89221,Wisconsin,Ozaukee County
3143,7287,Wisconsin,Pepin County
3144,42754,Wisconsin,Pierce County
3145,43783,Wisconsin,Polk County
3146,70772,Wisconsin,Portage County
3147,13351,Wisconsin,Price County
3148,196311,Wisconsin,Racine County
3149,17252,Wisconsin,Richland County
3150,163354,Wisconsin,Rock County
3151,14178,Wisconsin,Rusk County
3152,90687,Wisconsin,St. Croix County
3153,64442,Wisconsin,Sauk County
3154,16558,Wisconsin,Sawyer County
3155,40899,Wisconsin,Shawano County
3156,115340,Wisconsin,Sheboygan County
3157,20343,Wisconsin,Taylor County
3158,29649,Wisconsin,Trempealeau County
3159,30822,Wisconsin,Vernon County
3160,22195,Wisconsin,Vilas County
3161,103868,Wisconsin,Walworth County
3162,15720,Wisconsin,Washburn County
3163,136034,Wisconsin,Washington County
3164,404198,Wisconsin,Waukesha County
3165,50990,Wisconsin,Waupaca County
